clf	task	method	accuracy	recall1	recall0	recall_macro	precision1	precision0	precision_macro	f1score1	f1score0	f1score_macro	mcc	spd	aod	eod	erd	
rf	Adult-Sex	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.18	0.09	0.1	0.12	
rf	Adult-Sex	fairsmote	0.83	0.67	0.89	0.78	0.66	0.89	0.77	0.66	0.89	0.78	0.55	0.22	0.11	0.1	0.12	
rf	Adult-Sex	FairMask	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.18	0.07	0.06	0.12	
rf	Adult-Sex	maat	0.84	0.54	0.94	0.74	0.76	0.86	0.81	0.63	0.9	0.77	0.55	0.12	0.04	0.04	0.12	
rf	Adult-Sex	fitness_f	0.84	0.58	0.93	0.75	0.73	0.87	0.8	0.64	0.9	0.77	0.55	0.14	0.04	0.02	0.12	
rf	Adult-Race	default	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.1	0.05	0.04	0.06	
rf	Adult-Race	rw	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.1	0.04	0.04	0.06	
rf	Adult-Race	dir	0.84	0.61	0.91	0.76	0.69	0.88	0.78	0.65	0.89	0.77	0.54	0.09	0.03	0.03	0.06	
rf	Adult-Race	lfr	0.8	0.48	0.91	0.69	0.63	0.84	0.74	0.55	0.87	0.71	0.43	0.1	0.1	0.17	0.05	
rf	Adult-Race	ceo1	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.1	0.05	0.05	0.06	
rf	Adult-Race	eo	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.55	0.1	0.05	0.07	0.05	
rf	Adult-Race	ad	
rf	Adult-Race	pr	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.56	0.11	0.07	0.1	0.05	
rf	Adult-Race	mfc1	
rf	Adult-Race	roc1	0.82	0.72	0.86	0.79	0.62	0.9	0.76	0.66	0.88	0.77	0.55	0.03	0.13	0.18	0.01	
rf	Adult-Race	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.1	0.05	0.07	0.05	
rf	Adult-Race	fairsmote	0.83	0.68	0.88	0.78	0.65	0.89	0.77	0.66	0.89	0.78	0.55	0.14	0.08	0.09	0.07	
rf	Adult-Race	FairMask	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.09	0.04	0.04	0.06	
rf	Adult-Race	maat	0.84	0.58	0.93	0.76	0.74	0.87	0.8	0.65	0.9	0.77	0.56	0.07	0.02	0.02	0.06	
rf	Adult-Race	fitness_f	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.08	0.03	0.03	0.06	
rf	Compas-Sex	default	0.65	0.69	0.6	0.64	0.67	0.62	0.64	0.68	0.61	0.64	0.29	0.17	0.14	0.12	0.03	
rf	Compas-Sex	rw	0.65	0.69	0.6	0.65	0.67	0.62	0.65	0.68	0.61	0.65	0.29	0.15	0.12	0.11	0.03	
rf	Compas-Sex	dir	0.63	0.68	0.56	0.62	0.65	0.6	0.62	0.67	0.58	0.62	0.24	0.05	0.04	0.04	0.04	
rf	Compas-Sex	lfr	0.6	0.65	0.55	0.6	0.63	0.57	0.6	0.64	0.56	0.6	0.2	0.13	0.11	0.09	0.03	
rf	Compas-Sex	ceo1	0.65	0.7	0.58	0.64	0.67	0.62	0.64	0.69	0.6	0.64	0.29	0.23	0.2	0.16	0.03	
rf	Compas-Sex	eo	0.65	0.69	0.59	0.64	0.67	0.61	0.64	0.68	0.6	0.64	0.28	0.15	0.12	0.1	0.03	
rf	Compas-Sex	ad	
rf	Compas-Sex	pr	0.64	0.81	0.45	0.63	0.63	0.66	0.65	0.71	0.54	0.62	0.28	0.05	0.12	0.08	0.09	
rf	Compas-Sex	mfc1	
rf	Compas-Sex	roc1	0.63	0.68	0.58	0.63	0.66	0.6	0.63	0.67	0.59	0.63	0.26	0.12	0.15	0.16	0.03	
rf	Compas-Sex	fairway	0.66	0.79	0.5	0.65	0.66	0.67	0.66	0.72	0.57	0.64	0.31	0.2	0.17	0.13	0.04	
rf	Compas-Sex	fairsmote	0.65	0.68	0.61	0.64	0.67	0.61	0.64	0.68	0.61	0.64	0.28	0.16	0.14	0.11	0.02	
rf	Compas-Sex	FairMask	0.65	0.68	0.6	0.64	0.67	0.61	0.64	0.68	0.61	0.64	0.29	0.11	0.08	0.06	0.02	
rf	Compas-Sex	maat	0.65	0.72	0.56	0.64	0.67	0.63	0.65	0.69	0.59	0.64	0.29	0.11	0.08	0.07	0.03	
rf	Compas-Sex	fitness_f	0.65	0.69	0.6	0.64	0.67	0.62	0.65	0.68	0.61	0.64	0.29	0.07	0.04	0.04	0.03	
rf	Compas-Race	default	0.65	0.69	0.6	0.64	0.67	0.62	0.64	0.68	0.61	0.64	0.29	0.14	0.12	0.09	0.02	
rf	Compas-Race	rw	0.65	0.69	0.6	0.65	0.67	0.62	0.65	0.68	0.61	0.65	0.29	0.13	0.11	0.08	0.02	
rf	Compas-Race	dir	0.63	0.67	0.57	0.62	0.65	0.59	0.62	0.66	0.58	0.62	0.24	0.06	0.04	0.04	0.02	
rf	Compas-Race	lfr	0.6	0.65	0.55	0.6	0.63	0.57	0.6	0.64	0.56	0.6	0.2	0.11	0.09	0.07	0.02	
rf	Compas-Race	ceo1	0.65	0.71	0.57	0.64	0.67	0.62	0.64	0.69	0.6	0.64	0.28	0.19	0.17	0.13	0.02	
rf	Compas-Race	eo	0.65	0.68	0.6	0.64	0.67	0.61	0.64	0.68	0.61	0.64	0.29	0.13	0.11	0.07	0.02	
rf	Compas-Race	ad	
rf	Compas-Race	pr	0.68	0.75	0.6	0.67	0.69	0.67	0.68	0.72	0.63	0.67	0.35	0.14	0.11	0.1	0.02	
rf	Compas-Race	mfc1	
rf	Compas-Race	roc1	0.64	0.67	0.6	0.64	0.67	0.6	0.64	0.67	0.6	0.64	0.28	0.05	0.06	0.08	0.02	
rf	Compas-Race	fairway	0.67	0.77	0.55	0.66	0.67	0.66	0.67	0.72	0.6	0.66	0.32	0.15	0.12	0.08	0.02	
rf	Compas-Race	fairsmote	0.65	0.67	0.61	0.64	0.68	0.61	0.64	0.67	0.61	0.64	0.28	0.12	0.1	0.07	0.02	
rf	Compas-Race	FairMask	0.65	0.68	0.6	0.64	0.67	0.61	0.64	0.68	0.61	0.64	0.29	0.14	0.11	0.09	0.02	
rf	Compas-Race	maat	0.65	0.71	0.58	0.64	0.67	0.62	0.65	0.69	0.6	0.64	0.29	0.1	0.08	0.05	0.02	
rf	Compas-Race	fitness_f	0.65	0.68	0.6	0.64	0.67	0.61	0.64	0.68	0.61	0.64	0.28	0.04	0.03	0.02	0.02	
rf	German-Sex	default	0.76	0.91	0.4	0.66	0.78	0.67	0.73	0.84	0.5	0.67	0.38	0.07	0.07	0.04	0.05	
rf	German-Sex	rw	0.75	0.91	0.39	0.65	0.78	0.66	0.72	0.84	0.49	0.66	0.37	0.07	0.07	0.04	0.04	
rf	German-Sex	dir	0.76	0.92	0.39	0.66	0.78	0.67	0.73	0.84	0.49	0.67	0.37	0.07	0.07	0.04	0.05	
rf	German-Sex	lfr	0.66	0.87	0.2	0.53	0.71	0.39	0.55	0.78	0.26	0.52	0.08	0.04	0.06	0.05	0.07	
rf	German-Sex	ceo1	0.75	0.92	0.37	0.65	0.77	0.68	0.73	0.84	0.47	0.66	0.36	0.08	0.08	0.04	0.05	
rf	German-Sex	eo	0.76	0.91	0.4	0.66	0.78	0.67	0.73	0.84	0.5	0.67	0.38	0.07	0.07	0.04	0.05	
rf	German-Sex	ad	
rf	German-Sex	pr	0.73	0.88	0.35	0.62	0.77	0.55	0.66	0.82	0.43	0.62	0.27	0.06	0.06	0.09	0.08	
rf	German-Sex	mfc1	
rf	German-Sex	roc1	0.68	0.76	0.48	0.62	0.78	0.53	0.65	0.76	0.45	0.61	0.26	0.36	0.42	0.31	0.08	
